,cod_modelo_color,cod_color_code,des_color_specification_esp,des_agrup_color_eng,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,des_filename
2837,47017851-01,01,BLANCO,WHITE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_47017851_01.jpg
2838,57085953-35,35,TOPO,BROWN,P-PLANA,Outerwear,Coats and Parkas,Coats,Coat,datathon/images/2023_57085953_35.jpg
2839,57034402-70,70,ROJO,RED,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_57034402_70.jpg
2840,57043265-43,43,VERDE,GREEN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Foulard,datathon/images/2023_57043265_43.jpg
2841,57012897-02,02,OFFWHITE,WHITE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2023_57012897_02.jpg
2842,57083796-56,56,NAVY,BLUE,T-TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57083796_56.jpg
2843,57094014-05,05,CRUDO,WHITE,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57094014_05.jpg
2844,57043805-99,99,NEGRO,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,datathon/images/2023_57043805_99.jpg
2845,57014036-PL,PL,PLATA,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_57014036_PL.jpg
2846,57004785-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Purse,datathon/images/2023_57004785_99.jpg
2847,57025801-06,06,PIEDRA,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57025801_06.jpg
2848,57004056-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_57004056_OR.jpg
2849,57025806-30,30,MARRON,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2023_57025806_30.jpg
2850,57006012-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_57006012_OR.jpg
2851,57064431-99,99,NEGRO,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57064431_99.jpg
2852,57046012-92,92,GRIS,GREY,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2023_57046012_92.jpg
2853,57017729-95,95,ANTRACITA,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57017729_95.jpg
2854,57016018-35,35,TOPO,BROWN,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57016018_35.jpg
2855,57047738-TS,TS,TEJANO SOFT,BLUE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57047738_TS.jpg
2856,57009095-05,05,CRUDO,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57009095_05.jpg
2857,43075758-CG,CG,COGNAC,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_43075758_CG.jpg
2858,43095030-02,02,OFFWHITE,WHITE,K-CIRCULAR,Tops,Tops,Tops,Top,datathon/images/2019_43095030_02.jpg
2859,53040586-TA,TA,TAUPE,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53040586_TA.jpg
2860,53077657-99,99,NEGRO,GREY,O-POLIPIEL,Outerwear,Jackets and Blazers,Jackets,Jacket,datathon/images/2019_53077657_99.jpg
2861,53067659-99,99,NEGRO,GREY,P-PLANA,Outerwear,Jackets and Blazers,Jackets,Jacket,datathon/images/2019_53067659_99.jpg
2862,53060972-53,53,ELECTRICO,BLUE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53060972_53.jpg
2863,53073771-08,08,BEIGE,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Wallet,datathon/images/2019_53073771_08.jpg
2864,53023772-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53023772_99.jpg
2865,53025747-99,99,NEGRO,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53025747_99.jpg
2866,53003059-PL,PL,PLATA,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53003059_PL.jpg
2867,51085028-99,99,NEGRO,GREY,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_51085028_99.jpg
2868,53015774-08,08,BEIGE,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53015774_08.jpg
2869,57007893-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2019_57007893_OR.jpg
2870,57007109-49,49,BOTELLA,GREEN,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57007109_49.jpg
2871,57064381-99,99,NEGRO,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57064381_99.jpg
2872,57099207-99,99,NEGRO,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57099207_99.jpg
2873,67040059-PL,PL,PLATA,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2020_67040059_PL.jpg
2874,67050095-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2020_67050095_OR.jpg
2875,57008635-37,37,KHAKI,BROWN,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57008635_37.jpg
2876,47075849-02,02,OFFWHITE,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2023_47075849_02.jpg
2877,47005856-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_47005856_OR.jpg
2878,57020040-TN,TN,TEJANO NEGRO,GREY,J-JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57020040_TN.jpg
2879,47038631-99,99,NEGRO,GREY,T-TRICOT,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_47038631_99.jpg
2880,57050088-02,02,OFFWHITE,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Crossbody bag,datathon/images/2023_57050088_02.jpg
2881,57040302-35,35,TOPO,BROWN,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57040302_35.jpg
2882,57030292-TO,TO,TEJANO OSCURO,BLUE,J-JEANS,Outerwear,Jackets and Blazers,Jackets,Jacket,datathon/images/2023_57030292_TO.jpg
2883,57063797-14,14,LIMA,YELLOW,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2023_57063797_14.jpg
2884,57034403-05,05,CRUDO,WHITE,O-POLIPIEL,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57034403_05.jpg
2885,57003816-01,01,BLANCO,WHITE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57003816_01.jpg
2886,57033805-99,99,NEGRO,GREY,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57033805_99.jpg
2887,57063808-TN,TN,TEJANO NEGRO,GREY,J-JEANS,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,datathon/images/2023_57063808_TN.jpg
2888,57031177-05,05,CRUDO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Headband,datathon/images/2023_57031177_05.jpg
2889,57094421-56,56,NAVY,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Kerchief,datathon/images/2023_57094421_56.jpg
2890,57036005-PL,PL,PLATA,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Necklace,datathon/images/2023_57036005_PL.jpg
2891,57086003-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_57086003_OR.jpg
2892,57027723-05,05,CRUDO,WHITE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57027723_05.jpg
2893,57035806-20,20,NARANJA,ORANGE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Cosmetic bag,datathon/images/2023_57035806_20.jpg
2894,57016022-35,35,TOPO,BROWN,P-PLANA,Outerwear,Coats and Parkas,Coats,Coat,datathon/images/2023_57016022_35.jpg
2895,57007755-91,91,GRIS CLARO VIGORE,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57007755_91.jpg
2896,57069108-PL,PL,PLATA,GREY,K-CIRCULAR,Tops,Shirts,Shirt,Shirt,datathon/images/2023_57069108_PL.jpg
2897,57049121-99,99,NEGRO,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57049121_99.jpg
2898,57009130-08,08,BEIGE,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57009130_08.jpg
2899,43023763-01,01,BLANCO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_43023763_01.jpg
2900,53083022-30,30,MARRON,BROWN,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53083022_30.jpg
2901,51040641-76,76,GRANATE,RED,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_51040641_76.jpg
2902,51070630-99,99,NEGRO,GREY,K-CIRCULAR,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_51070630_99.jpg
2903,53050683-92,92,GRIS,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53050683_92.jpg
2904,53083025-02,02,OFFWHITE,WHITE,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2019_53083025_02.jpg
2905,53090774-56,56,NAVY,BLUE,P-PLANA,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2019_53090774_56.jpg
2906,51050919-43,43,VERDE,GREEN,P-PLANA,Tops,Tops,Tops,Top,datathon/images/2019_51050919_43.jpg
2907,53023753-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2019_53023753_99.jpg
2908,53033779-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53033779_99.jpg
2909,51083755-43,43,VERDE,GREEN,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_51083755_43.jpg
2910,53025775-CU,CU,CUERO,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53025775_CU.jpg
2911,51005042-99,99,NEGRO,GREY,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_51005042_99.jpg
2912,51073744-92,92,GRIS,GREY,K-CIRCULAR,Bottoms,Trousers & leggings,Leggings and joggers,Leggings,datathon/images/2019_51073744_92.jpg
2913,57030536-CU,CU,CUERO,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2019_57030536_CU.jpg
2914,57017877-99,99,NEGRO,GREY,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_57017877_99.jpg
2915,57005948-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2019_57005948_OR.jpg
2916,57094377-09,09,CAMEL,WHITE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57094377_09.jpg
2917,57074380-99,99,NEGRO,GREY,K-CIRCULAR,Tops,Tops,Tops,Top,datathon/images/2019_57074380_99.jpg
2918,57018255-05,05,CRUDO,WHITE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57018255_05.jpg
2919,57015954-02,02,OFFWHITE,WHITE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57015954_02.jpg
2920,57077888-OR,OR,ORO,WHITE,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_57077888_OR.jpg
2921,51041070-99,99,NEGRO,GREY,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_51041070_99.jpg
2922,57009217-99,99,NEGRO,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57009217_99.jpg
2923,47024419-31,31,TABACO,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Shoulder bag,datathon/images/2023_47024419_31.jpg
2924,47067877-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Totes bag,datathon/images/2023_47067877_99.jpg
2925,57072503-99,99,NEGRO,GREY,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_57072503_99.jpg
2926,57020047-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2023_57020047_99.jpg
2927,57021025-14,14,LIMA,YELLOW,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Cosmetic bag,datathon/images/2023_57021025_14.jpg
2928,57000281-99,99,NEGRO,GREY,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_57000281_99.jpg
2929,57000271-99,99,NEGRO,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57000271_99.jpg
2930,57010754-70,70,ROJO,RED,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57010754_70.jpg
2931,57003777-99,99,NEGRO,GREY,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2023_57003777_99.jpg
2932,57034006-30,30,MARRON,BROWN,T-TRICOT,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_57034006_30.jpg
2933,57072879-02,02,OFFWHITE,WHITE,T-TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57072879_02.jpg
2934,57025143-TO,TO,TEJANO OSCURO,BLUE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57025143_TO.jpg
2935,57024764-37,37,KHAKI,BROWN,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57024764_37.jpg
2936,57002533-PL,PL,PLATA,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_57002533_PL.jpg
2937,57001111-02,02,OFFWHITE,WHITE,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2023_57001111_02.jpg
2938,57061167-01,01,BLANCO,WHITE,K-CIRCULAR,Tops,Tops,Tops,Top,datathon/images/2023_57061167_01.jpg
2939,57081167-99,99,NEGRO,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57081167_99.jpg
2940,57074411-92,92,GRIS,GREY,T-TRICOT,"Accesories, Swim and Intimate",Swim and intimate,Intimate,Dressing Gown (Bata),datathon/images/2023_57074411_92.jpg
2941,57005977-TO,TO,TEJANO OSCURO,BLUE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57005977_TO.jpg
2942,57067714-92,92,GRIS,GREY,O-POLIPIEL,Outerwear,Jackets and Blazers,Jackets,Jacket,datathon/images/2023_57067714_92.jpg
2944,57005150-CU,CU,CUERO,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Case,datathon/images/2023_57005150_CU.jpg
2945,57084433-83,83,ROSA PALO,PINK,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57084433_83.jpg
2946,57057737-52,52,AZUL,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Beanie,datathon/images/2023_57057737_52.jpg
2947,57005832-43,43,VERDE,GREEN,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57005832_43.jpg
2948,67040290-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2024_67040290_OR.jpg
2949,57067759-30,30,MARRON,BROWN,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2023_57067759_30.jpg
2950,43087766-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Necklace,datathon/images/2019_43087766_OR.jpg
2951,53060545-07,07,ARENA,WHITE,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2019_53060545_07.jpg
2952,51070618-05,05,CRUDO,WHITE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_51070618_05.jpg
2953,51073704-69,69,MARINO,BLUE,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_51073704_69.jpg
2954,53073708-70,70,ROJO,RED,P-PLANA,Outerwear,Coats and Parkas,Puffer coats,Puffer coat,datathon/images/2019_53073708_70.jpg
2955,41047807-20,20,NARANJA,ORANGE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_41047807_20.jpg
2956,53083713-05,05,CRUDO,WHITE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_53083713_05.jpg
2957,53070789-07,07,ARENA,WHITE,K-CIRCULAR,Tops,Tops,Tops,Top,datathon/images/2019_53070789_07.jpg
2958,53043732-01,01,BLANCO,WHITE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_53043732_01.jpg
2959,53073730-05,05,CRUDO,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,datathon/images/2019_53073730_05.jpg
2960,53071016-43,43,VERDE,GREEN,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2019_53071016_43.jpg
2961,53051046-02,02,OFFWHITE,WHITE,K-CIRCULAR,Tops,Tops,Tops,Top,datathon/images/2019_53051046_02.jpg
2962,53063778-43,43,VERDE,GREEN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Beanie,datathon/images/2019_53063778_43.jpg
2963,51065755-01,01,BLANCO,WHITE,P-PLANA,Outerwear,Jackets and Blazers,Jackets,Jacket,datathon/images/2019_51065755_01.jpg
2964,53043738-09,09,CAMEL,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Scarf,datathon/images/2019_53043738_09.jpg
2965,57004379-95,95,ANTRACITA,GREY,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57004379_95.jpg
2966,57085915-43,43,VERDE,GREEN,K-CIRCULAR,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_57085915_43.jpg
2967,57065929-99,99,NEGRO,GREY,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_57065929_99.jpg
2968,57009207-06,06,PIEDRA,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57009207_06.jpg
2969,57004387-09,09,CAMEL,WHITE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57004387_09.jpg
2970,57007694-09,09,CAMEL,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57007694_09.jpg
2971,57007902-56,56,NAVY,BLUE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57007902_56.jpg
2972,67050100-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Headband,datathon/images/2020_67050100_99.jpg
2973,67060573-30,30,MARRON,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Boots,datathon/images/2020_67060573_30.jpg
2974,47013258-05,05,CRUDO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2023_47013258_05.jpg
2975,47046315-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Ring,datathon/images/2023_47046315_OR.jpg
2976,47056314-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Necklace,datathon/images/2023_47056314_OR.jpg
2977,57020035-52,52,AZUL,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Kerchief,datathon/images/2023_57020035_52.jpg
2978,57040072-52,52,AZUL,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_57040072_52.jpg
2979,57040081-10,10,VAINILLA,YELLOW,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57040081_10.jpg
2980,57000146-08,08,BEIGE,WHITE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2023_57000146_08.jpg
2981,57075947-08,08,BEIGE,WHITE,P-PLANA,Outerwear,Coats and Parkas,Outer Vest,Outer vest,datathon/images/2023_57075947_08.jpg
2982,57040297-43,43,VERDE,GREEN,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57040297_43.jpg
2983,57001067-56,56,NAVY,BLUE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_57001067_56.jpg
2984,57015961-02,02,OFFWHITE,WHITE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57015961_02.jpg
2985,57096307-43,43,VERDE,GREEN,T-TRICOT,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57096307_43.jpg
2986,57075968-35,35,TOPO,BROWN,P-PLANA,Outerwear,Jackets and Blazers,Vest,Vest,datathon/images/2023_57075968_35.jpg
2987,57025988-99,99,NEGRO,GREY,L-PIEL,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2023_57025988_99.jpg
2988,57075987-99,99,NEGRO,GREY,L-PIEL,Outerwear,Jackets and Blazers,Vest,Vest,datathon/images/2023_57075987_99.jpg
2989,57096311-06,06,PIEDRA,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,datathon/images/2023_57096311_06.jpg
2990,57097747-17,17,CARAMELO,YELLOW,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2023_57097747_17.jpg
2991,57099089-99,99,NEGRO,GREY,T-TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57099089_99.jpg
2992,57045812-91,91,GRIS CLARO VIGORE,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57045812_91.jpg
2993,57018275-05,05,CRUDO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Shoulder bag,datathon/images/2023_57018275_05.jpg
2994,67040358-PL,PL,PLATA,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Necklace,datathon/images/2024_67040358_PL.jpg
2995,67050439-PL,PL,PLATA,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Ring,datathon/images/2024_67050439_PL.jpg
2996,51060422-08,08,BEIGE,WHITE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_51060422_08.jpg
2997,53030621-18,18,CANELA,YELLOW,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Shoes,datathon/images/2019_53030621_18.jpg
2998,53060602-TN,TN,TEJANO NEGRO,GREY,J-JEANS,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_53060602_TN.jpg
2999,53040644-02,02,OFFWHITE,WHITE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53040644_02.jpg
3000,53000642-TM,TM,TEJANO MEDIO,BLUE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_53000642_TM.jpg
3001,53083036-90,90,PERLA,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Hairclip,datathon/images/2019_53083036_90.jpg
3002,53073713-37,37,KHAKI,BROWN,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53073713_37.jpg
3003,53050886-TM,TM,TEJANO MEDIO,BLUE,J-JEANS,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_53050886_TM.jpg
3004,53020670-30,30,MARRON,BROWN,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_53020670_30.jpg
3005,53000586-TS,TS,TEJANO SOFT,BLUE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_53000586_TS.jpg
3006,53013756-79,79,CALDERO,RED,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Beanie,datathon/images/2019_53013756_79.jpg
3007,53000591-TU,TU,TEJANO GRIS OSCURO,GREY,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_53000591_TU.jpg
3008,53011088-02,02,OFFWHITE,WHITE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_53011088_02.jpg
3009,51065748-30,30,MARRON,BROWN,P-PLANA,Outerwear,Jackets and Blazers,Blazers,Blazer,datathon/images/2019_51065748_30.jpg
3010,51013052-11,11,AMARILLO PASTEL,YELLOW,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_51013052_11.jpg
3011,53073793-99,99,NEGRO,GREY,K-CIRCULAR,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_53073793_99.jpg
3012,53005786-30,30,MARRON,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53005786_30.jpg
